날짜,동,누적강수량,최고기온(w),최저기온(w),습도,일교차,승용차추정교통량,버스추정교통량,화물차추정교통량,
2021.08.25,신공덕동,1011,30.9,21.4,79.875,9.5,6574,53,1822,8449
2021.05.04,신공덕동,1566.5,19.799999,8.8,67.16071429,10.999999,6574,53,1822,8449
2021.03.19,신공덕동,1413.5,19.700001,4.9,53.54761905,14.800001,6574,53,1822,8449
2021.03.07,신공덕동,1423,15.4,0.7,66.60119048,14.7,6574,53,1822,8449
2021.03.08,신공덕동,1423,15.4,0.7,60.79761905,14.7,6574,53,1822,8449
2021.05.19,신공덕동,1566.5,30.1,0,70.45238095,30.1,6574,53,1822,8449
2021.06.08,신공덕동,1619.5,29.6,0,69,29.6,6574,53,1822,8449
2021.08.31,신공덕동,1056,28.299999,18.700001,81.7202381,9.599998,6574,53,1822,8449
2021.08.31,신공덕동,1056,28.299999,18.700001,81.7202381,9.599998,6574,53,1822,8449
2021.09.03,신공덕동,995.5,31,18.700001,73.0952381,12.299999,6574,53,1822,8449
2021.09.15,신공덕동,972,31,12.1,61.73214286,18.9,6574,53,1822,8449
2021.10.08,신공덕동,1073.5,29.4,0,76.86309524,29.4,6574,53,1822,8449
2021.10.12,신공덕동,1083,24.6,12.2,77.01190476,12.4,6574,53,1822,8449
2021.11.24,신공덕동,1059.5,18,-0.1,65.08333333,18.1,6574,53,1822,8449
2021.03.07,신공덕동,1423,15.4,0.7,66.60119048,14.7,6574,53,1822,8449
2021.05.17,신공덕동,1602,30.1,0,67.19047619,30.1,6574,53,1822,8449
2021.07.28,신공덕동,1428,37.099998,27.4,58.63095238,9.699998,6574,53,1822,8449
2021.07.01,신공덕동,1543,31.700001,20.299999,74.10714286,11.400002,6574,53,1822,8449
2021.03.02,도화동,1423,14.9,0.7,50.80952381,14.2,6574,53,1822,8449
2021.01.27,도화동,1406,13.8,1.4,71.41666667,12.4,6574,53,1822,8449
2021.03.03,도화동,1423,14.9,0.7,54.13690476,14.2,6574,53,1822,8449
2021.03.03,도화동,1423,14.9,0.7,54.13690476,14.2,6574,53,1822,8449
2021.03.16,도화동,1413.5,16.9,4.9,56.57738095,12,6574,53,1822,8449
2021.03.18,도화동,1413.5,17.799999,4.9,56.14285714,12.899999,6574,53,1822,8449
2021.03.25,도화동,1417.5,19.700001,0,60.26785714,19.700001,6574,53,1822,8449
2021.03.25,도화동,1417.5,19.700001,0,60.26785714,19.700001,6574,53,1822,8449
2021.03.30,도화동,1443,20.6,0,61.77380952,20.6,6574,53,1822,8449
2021.04.06,도화동,1503,23.1,7.9,46.81547619,15.2,6574,53,1822,8449
2021.04.20,도화동,1509.5,21.9,7.5,55.72619048,14.4,6574,53,1822,8449
2021.04.20,도화동,1509.5,21.9,7.5,55.72619048,14.4,6574,53,1822,8449
2021.05.07,도화동,1574,22.9,8.8,62.14285714,14.1,6574,53,1822,8449
2021.08.28,도화동,993,28.299999,20.799999,84.10119048,7.5,6574,53,1822,8449
2021.09.01,도화동,1056,28.299999,18.700001,79.75595238,9.599998,6574,53,1822,8449
2021.09.03,도화동,995.5,31,18.700001,73.0952381,12.299999,6574,53,1822,8449
2021.09.08,도화동,985,31,0,66.8452381,31,6574,53,1822,8449
2021.10.05,도화동,1068.5,29.4,0,74.47619048,29.4,6574,53,1822,8449
2021.10.12,도화동,1083,24.6,12.2,77.01190476,12.4,6574,53,1822,8449
2021.10.20,도화동,1094,22.4,0,55.45238095,22.4,6574,53,1822,8449
2021.02.17,도화동,1386.5,15.2,-8.6,51.79761905,23.8,6574,53,1822,8449
2021.04.14,도화동,1528,21.5,6.2,50.85119048,15.3,6574,53,1822,8449
2021.01.11,도화동,1392.5,-2.9,-17.9,56.30952381,15,6574,53,1822,8449
2021.01.25,도화동,1404.5,13.8,-8.4,70.28571429,22.2,6574,53,1822,8449
2021.02.14,도화동,1400,15.2,-3,55.35714286,18.2,6574,53,1822,8449
2021.07.08,도화동,1633,31,0,79.32142857,31,6574,53,1822,8449
2021.10.12,도화동,1083,24.6,12.2,77.01190476,12.4,6574,53,1822,8449
2021.10.05,도화동,1068.5,29.4,0,74.47619048,29.4,6574,53,1822,8449
2021.03.30,도화동,1443,20.6,0,61.77380952,20.6,6574,53,1822,8449
2021.07.08,도화동,1633,31,0,79.32142857,31,6574,53,1822,8449
2021.02.14,공덕동,1400,15.2,-3,55.35714286,18.2,6574,53,1822,8449
2021.03.02,공덕동,1423,14.9,0.7,50.80952381,14.2,6574,53,1822,8449
2021.07.02,공덕동,1543,31.700001,0,72.02380952,31.700001,6574,53,1822,8449
2021.04.28,공덕동,1512.5,27.5,12,46.85714286,15.5,6574,53,1822,8449
2021.01.25,공덕동,1404.5,13.8,-8.4,70.28571429,22.2,6574,53,1822,8449
2021.02.09,공덕동,1409.5,10.4,-5.1,56.36309524,15.5,6574,53,1822,8449
2021.03.04,공덕동,1423,14.9,0.7,58.72619048,14.2,6574,53,1822,8449
2021.04.01,공덕동,1443,23.1,7.1,52.82738095,16,6574,53,1822,8449
2021.04.06,공덕동,1503,23.1,7.9,46.81547619,15.2,6574,53,1822,8449
2021.04.21,공덕동,1509.5,27.9,7.5,52.375,20.4,6574,53,1822,8449
2021.05.07,공덕동,1574,22.9,8.8,62.14285714,14.1,6574,53,1822,8449
2021.05.07,공덕동,1574,22.9,8.8,62.14285714,14.1,6574,53,1822,8449
2021.05.18,공덕동,1600,30.1,0,71.44047619,30.1,6574,53,1822,8449
2021.05.18,공덕동,1600,30.1,0,71.44047619,30.1,6574,53,1822,8449
2021.08.11,공덕동,962.5,33.599998,0,63.14285714,33.599998,6574,53,1822,8449
2021.08.25,공덕동,1011,30.9,21.4,79.875,9.5,6574,53,1822,8449
2021.08.25,공덕동,1011,30.9,21.4,79.875,9.5,6574,53,1822,8449
2021.09.06,공덕동,1018.5,31,0,66.14285714,31,6574,53,1822,8449
2021.09.29,공덕동,1055,28.1,0,68.33333333,28.1,6574,53,1822,8449
2021.10.05,공덕동,1068.5,29.4,0,74.47619048,29.4,6574,53,1822,8449
2021.10.25,공덕동,1094,19,0,57.19047619,19,6574,53,1822,8449
2021.12.29,공덕동,1089,9.4,-12.2,53.66071429,21.6,6574,53,1822,8449
2021.03.08,공덕동,1423,15.4,0.7,60.79761905,14.7,6574,53,1822,8449
2021.05.18,공덕동,1600,30.1,0,71.44047619,30.1,6574,53,1822,8449
2021.03.07,공덕동,1423,15.4,0.7,66.60119048,14.7,6574,53,1822,8449
2021.03.10,신공덕동,1417,16.5,3.6,59.39285714,12.9,6574,53,1822,8449
2021.05.12,신공덕동,1538.5,27.299999,10.1,52.07142857,17.199999,6574,53,1822,8449
2021.01.12,신공덕동,1392.5,-0.1,-17.9,62.88690476,17.8,6574,53,1822,8449
2021.03.07,신공덕동,1423,15.4,0.7,66.60119048,14.7,6574,53,1822,8449
2021.04.05,신공덕동,1503,23.1,7.9,45.375,15.2,6574,53,1822,8449
2021.11.15,신공덕동,1126,17.200001,3.7,62.39880952,13.500001,6574,53,1822,8449
2021.12.21,신공덕동,1090,12.3,-7,60.23214286,19.3,6574,53,1822,8449
2021.05.14,신공덕동,1538.5,30.1,11.3,53.04761905,18.8,6574,53,1822,8449
2021.01.23,공덕동,1404.5,12,-10.4,69.14285714,22.4,6574,53,1822,8449
2021.08.28,공덕동,993,28.299999,20.799999,84.10119048,7.5,6574,53,1822,8449
2021.11.25,공덕동,1059.5,18,-0.1,59.54761905,18.1,6574,53,1822,8449
2021.03.25,공덕동,1417.5,19.700001,0,60.26785714,19.700001,6574,53,1822,8449
2021.05.18,공덕동,1600,30.1,0,71.44047619,30.1,6574,53,1822,8449
2021.01.12,공덕동,1392.5,-0.1,-17.9,62.88690476,17.8,6574,53,1822,8449
2021.02.09,공덕동,1409.5,10.4,-5.1,56.36309524,15.5,6574,53,1822,8449
2021.02.13,공덕동,1400,15.2,-3.4,54.25,18.6,6574,53,1822,8449
